t_ms,t_ms_rel,t_s_rel,servo_deg,v_div,v_rf,v_photo,r_m,B_exp,L_exp,V_in,P_in,B_teo,L_teo,err_B_abs,err_L_abs,err_B_rel,err_L_rel
311995,7200,7.200000,0,1.534400,0.618100,0.000000,0.392460,0.618100,0.000000,16.947900,14.624812,2.548029,6.492453,-1.929929,-6.492453,-0.757420,-1.000000
312045,7250,7.250000,0,1.490000,0.917100,0.000000,0.392460,0.917100,0.000000,16.457489,13.790679,2.548029,6.492453,-1.630929,-6.492453,-0.640075,-1.000000
312095,7300,7.300000,0,1.555300,0.930000,0.000000,0.392460,0.930000,0.000000,17.178746,15.025933,2.548029,6.492453,-1.618029,-6.492453,-0.635012,-1.000000
312145,7350,7.350000,0,1.554500,0.768800,0.000000,0.392460,0.768800,0.000000,17.169910,15.010479,2.548029,6.492453,-1.779229,-6.492453,-0.698277,-1.000000
312195,7400,7.400000,0,1.584300,0.926700,0.000000,0.392460,0.926700,0.000000,17.499060,15.591502,2.548029,6.492453,-1.621329,-6.492453,-0.636307,-1.000000
312245,7450,7.450000,0,1.561800,0.593900,0.000000,0.392460,0.593900,0.000000,17.250541,15.151790,2.548029,6.492453,-1.954129,-6.492453,-0.766918,-1.000000
312295,7500,7.500000,0,1.611700,0.895300,0.000000,0.392460,0.895300,0.000000,17.801701,16.135466,2.548029,6.492453,-1.652729,-6.492453,-0.648630,-1.000000
312345,7550,7.550000,0,1.603700,0.658400,0.000000,0.392460,0.658400,0.000000,17.713339,15.975681,2.548029,6.492453,-1.889629,-6.492453,-0.741604,-1.000000
312395,7600,7.600000,0,1.611700,0.915500,0.000000,0.392460,0.915500,0.000000,17.801701,16.135466,2.548029,6.492453,-1.632529,-6.492453,-0.640703,-1.000000
312445,7650,7.650000,0,1.587500,0.618100,0.000000,0.392460,0.618100,0.000000,17.534405,15.654550,2.548029,6.492453,-1.929929,-6.492453,-0.757420,-1.000000
312495,7700,7.700000,0,1.617400,0.912200,0.000000,0.392460,0.912200,0.000000,17.864659,16.249799,2.548029,6.492453,-1.635829,-6.492453,-0.641998,-1.000000
